UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100801,HUANUCO,PACHITEA,PANAO,125171,Panao,PANAO,2,1,IPSKED,1008010001,,1008010001,MED-GPS,2494,-75.99429652,-9.89747595,-85.89177247
101101,HUANUCO,YAROWILCA,CHAVINILLO,116284,Chavinillo,CHAVINILLO,2,1,IPS,1011010001,,1011010001,MED-GPS,3458,-76.60839481,-9.85874366,-86.46713847
20801,ANCASH,CASMA,CASMA,113871,Casma,CASMA,2,1,GIPSLD,208010001,,208010001,MED-GPS,51,-78.30544286,-9.47607993,-87.78152279
100501,HUANUCO,HUAMALIES,LLATA,131829,Llata,LLATA,2,1,GIPSKLD,1005010001,,1005010001,MED-GPS,3436,-76.81552786,-9.54997196,-86.36549982
100901,HUANUCO,PUERTO INCA,PUERTO INCA,117685,Puerto Inca,PUERTO INCA,2,1,IPSKD,1009010001,,1009010001,MED-GPS,209,-74.96594262,-9.37935836,-84.34530098
100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,117672,Tingo Maria,TINGO MARIA,2,1,GIPSKLED,1006010001,,1006010001,MED-GPS,647,-76.00028442,-9.29838119,-85.29866561
20601,ANCASH,CARHUAZ,CARHUAZ,116022,Carhuaz,CARHUAZ,2,1,IPSKED,206010001,,206010001,MED-GPS,2640,-77.64629654,-9.28176454,-86.92806108
20401,ANCASH,ASUNCION,CHACAS,126722,Chacas,CHACAS,2,1,GIPSKD,204010001,,204010001,MED-GPS,3367,-77.36604251,-9.162092849,-86.52813536
20701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,124380,San Luis,SAN LUIS,2,1,IPSKLD,207010001,,207010001,MED-GPS,3129,-77.32912977,-9.09435746,-86.42348723
21801,ANCASH,SANTA,CHIMBOTE,117876,Chimbote,CHIMBOTE,2,1,GIPSKLED,218010001,,218010001,IMG_SATELITAL,10,-78.59357234,-9.07454176,-87.6681141
21201,ANCASH,HUAYLAS,CARAZ,126528,Caraz,CARAZ,2,1,GIPSKLED,212010001,,212010001,MED-GPS,2264,-77.81006258,-9.04858755,-86.85865013
100401,HUANUCO,HUACAYBAMBA,HUACAYBAMBA,125506,Huacaybamba,HUACAYBAMBA,2,1,IPSKL,1004010001,,1004010001,MED-GPS,3175,-76.9526168,-9.03786568,-85.99048248
250301,UCAYALI,PADRE ABAD,PADRE ABAD,116017,Aguaytia,AGUAYTIA,2,1,GIPSLED,2503010001,,2503010001,MED-GPS,279,-75.5086237,-9.03687544,-84.54549914
21601,ANCASH,POMABAMBA,POMABAMBA,125809,Pomabamba,POMABAMBA,2,1,IPSKLD,216010001,,216010001,MED-GPS,2957,-77.4602514,-8.8205315,-86.2807829
21301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,114959,Piscobamba,PISCOBAMBA,2,1,K,213010001,,213010001,MED-GPS,3305,-77.35749107,-8.8649466,-86.22243767
100701,HUANUCO,MARA├æON,HUACRACHUCO,113933,Huacrachuco,HUACRACHUCO,2,1,IPSD,1007010001,,1007010001,MED-GPS,2898,-77.14935042,-8.60439329,-85.75374371
20901,ANCASH,CORONGO,CORONGO,128843,Corongo,CORONGO,2,1,IPSK,209010001,,209010001,MED-GPS,3162,-77.89804083,-8.57042256,-86.46846339
21901,ANCASH,SIHUAS,SIHUAS,121257,Sihuas,SIHUAS,2,1,GIP,219010001,,219010001,MED-GPS,2730,-77.6312206,-8.55458704,-86.18580764
131201,LA LIBERTAD,VIRU,VIRU,112489,Viru,VIRU,2,1,IPSKLD,1312010001,,1312010001,MED-GPS,77,-78.75222202,-8.41427715,-87.16649917
21501,ANCASH,PALLASCA,CABANA,536515,Cabana,CABANA,2,1,IPSKL,215010001,,215010001,MED-GPS,3236,-78.00901572,-8.39290941,-86.40192513
210501,PUNO,EL COLLAO,ILAVE,127767,Ilave,ILAVE,2,1,GIPSKLED,2105010001,,2105010001,MED-GPS,3862,-69.63859877,-16.08686592,-85.72546469
130801,LA LIBERTAD,PATAZ,TAYABAMBA,119200,Tayabamba,TAYABAMBA,2,1,GIPSKLED,1308010001,,1308010001,MED-GPS,3226,-77.29632102,-8.27593502,-85.57225604
130501,LA LIBERTAD,JULCAN,JULCAN,550942,Julcan,JULCAN,2,1,IPSLD,1305010001,,1305010001,MED-GPS,3399,-78.48663451,-8.0425289,-86.52916341
130201,LA LIBERTAD,ASCOPE,ASCOPE,112472,Ascope,ASCOPE,2,1,IPSKLED,1302010001,,1302010001,MED-GPS,233,-79.10751502,-7.71379065,-86.82130567
220301,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,515725,San Jose de Sisa,SAN JOSE DE SISA,2,1,IPSLD,2203010001,,2203010001,MED-GPS,343,-76.69486503,-6.6139139,-83.30877893
81201,CUSCO,QUISPICANCHI,URCOS,127259,Urcos,URCOS,2,1,GIPSLD,812010001,,812010001,MED-GPS,3153,-71.62561322,-13.68795506,-85.31356828
50301,AYACUCHO,HUANCA SANCOS,SANCOS,132377,Huanca Sancos,HUANCA SANCOS,2,1,GIPSKD,503010001,,503010001,MED-GPS,3422,-74.33388289,-13.91988366,-88.25376655
80201,CUSCO,ACOMAYO,ACOMAYO,116943,Acomayo,ACOMAYO,2,1,GIPSKED,802010001,,802010001,MED-GPS,3215,-71.68349439,-13.91920265,-85.60269704
60201,CAJAMARCA,CAJABAMBA,CAJABAMBA,131163,Cajabamba,CAJABAMBA,2,1,GIPSKLED,602010001,,602010001,MED-GPS,2661,-78.04600251,-7.62374351,-85.66974602
61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,120077,San Marcos,SAN MARCOS,2,1,IPSD,610010001,,610010001,MED-GPS,2256,-78.17047055,-7.33606865,-85.5065392
130401,LA LIBERTAD,CHEPEN,CHEPEN,119479,Chepen,CHEPEN,2,1,IPSKLED,1304010001,1304010032,1304010001,MED-GPS,134,-79.42963328,-7.22728914,-86.65692242
130301,LA LIBERTAD,BOLIVAR,BOLIVAR,115761,Bolivar,BOLIVAR,2,1,IPSKLD,1303010001,,1303010001,MED-GPS,3135,-77.70263615,-7.15387178,-84.85650793
61201,CAJAMARCA,SAN PABLO,SAN PABLO,117114,San Pablo,SAN PABLO,2,1,IPSKED,612010001,,612010001,MED-GPS,2383,-78.82337069,-7.11834136,-85.94171205
211201,PUNO,SANDIA,SANDIA,122494,Sandia,SANDIA,2,1,GIPSED,2112010001,,2112010001,MED-GPS,2234,-69.46661477,-14.32301928,-83.78963405
210301,PUNO,CARABAYA,MACUSANI,131219,Macusani,MACUSANI,2,1,IPSKLED,2103010001,,2103010001,MED-GPS,4321,-70.4313564,-14.06845301,-84.49980941
80601,CUSCO,CANCHIS,SICUANI,122229,Sicuani,SICUANI,2,1,GIPSKLED,806010001,,806010001,MED-GPS,3554,-71.22649914,-14.27299113,-85.49949027
170201,MADRE DE DIOS,MANU,MANU,210017,Salvacion,SALVACION,2,1,GIPSKD,1702010001,,1702010001,MED-GPS,541,-71.35890272,-12.83618166,-84.19508438
10401,AMAZONAS,CONDORCANQUI,NIEVA,543243,Santa Maria de Nieva,SANTA MARIA DE NIEVA,2,1,IPSLD,104010001,,104010001,MED-GPS,189,-77.86447689,-4.59234702,-82.45682391
80501,CUSCO,CANAS,YANAOCA,112789,Yanaoca,YANAOCA,2,1,GIPSLED,805010001,,805010001,MED-GPS,3913,-71.43203327,-14.21694329,-85.64897656
30401,APURIMAC,AYMARAES,CHALHUANCA,130422,Chalhuanca,CHALHUANCA,2,1,IPSKLED,304010001,,304010001,MED-GPS,2910,-73.24426751,-14.29471191,-87.53897942
220201,SAN MARTIN,BELLAVISTA,BELLAVISTA,131835,Bellavista,BELLAVISTA,2,1,IPSKLED,2202010001,,2202010001,MED-GPS,253,-76.58470096,-7.0668712,-83.65157216
220701,SAN MARTIN,PICOTA,PICOTA,120327,Picota,PICOTA,2,1,GIPSKLED,2207010001,,2207010001,MED-GPS,218,-76.33030096,-6.9206416,-83.25094256
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,130992,Lambayeque,LAMBAYEQUE,2,1,GIPSKLED,1403010001,,1403010001,MED-GPS,20,-79.90620927,-6.70410837,-86.61031764
140201,LAMBAYEQUE,FERRE├æAFE,FERRE├æAFE,123165,Ferre├▒afe,FERRE├æAFE,2,1,GIPSKLED,1402010001,,1402010001,MED-GPS,40,-79.78803991,-6.63922698,-86.42726689
61301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,121763,Santa Cruz de Succhabamba,SANTA CRUZ DE SUCCHABAMBA,2,1,GIPSKLD,613010001,,613010001,MED-GPS,2025,-78.94438562,-6.62613957,-85.57052519
220901,SAN MARTIN,SAN MARTIN,TARAPOTO,121324,Tarapoto,TARAPOTO,2,1,GIPSKLD,2209010001,,2209010001,MED-GPS,332,-76.35981815,-6.48771702,-82.84753517
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,624728,San Nicolas / Mendoza,SAN NICOLAS / MENDOZA,2,1,IPSKLD,106010001,,106010001,MED-GPS,1595,-77.4821999,-6.39590702,-83.87810692
60601,CAJAMARCA,CUTERVO,CUTERVO,133200,Cutervo,CUTERVO,2,1,IPSKLED,606010001,,606010001,MED-GPS,2647,-78.81831305,-6.37735547,-85.19566852
220801,SAN MARTIN,RIOJA,RIOJA,126782,Rioja,RIOJA,2,1,IPSKLED,2208010001,,2208010001,MED-GPS,844,-77.16777252,-6.0626084,-83.23038092
10301,AMAZONAS,BONGARA,JUMBILLA,132828,Jumbilla,JUMBILLA,2,1,GIPSL,103010001,,103010001,MED-GPS,2079,-77.79809916,-5.90432416,-83.70242332
160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,118930,Yurimaguas,YURIMAGUAS,2,1,GIPSKLED,1602010001,,1602010001,MED-GPS,150,-76.10440535,-5.895268749,-81.9996741
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,110343,Bagua Grande,BAGUA GRANDE,2,1,GIPSKLED,107010001,,107010001,MED-GPS,444,-78.4422019,-5.75441765,-84.19661955
60801,CAJAMARCA,JAEN,JAEN,113516,Jaen,JAEN,2,1,GIPSKLD,608010001,,608010001,MED-GPS,731,-78.80782547,-5.70880322,-84.51662869
10201,AMAZONAS,BAGUA,BAGUA,122815,Bagua,BAGUA,2,1,GIPSKLED,102010001,,102010001,MED-GPS,419,-78.53166353,-5.63906152,-84.17072505
200401,PIURA,MORROPON,CHULUCANAS,122183,Chulucanas,CHULUCANAS,2,1,GIPSLED,2004010001,,2004010001,MED-GPS,99,-80.16085341,-5.09655103,-85.25740444
60901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,117726,San Ignacio,SAN IGNACIO,2,1,IPSKLED,609010001,,609010001,MED-GPS,1281,-79.00497127,-5.14625044,-84.15122171
160501,LORETO,REQUENA,REQUENA,111047,Requena,REQUENA,2,1,GIPSKLED,1605010001,,1605010001,MED-GPS,104,-73.856386,-5.06369292,-78.92007892
200601,PIURA,SULLANA,SULLANA,133505,Sullana,SULLANA,2,1,GIPSKLED,2006010001,,2006010001,MED-GPS,61,-80.68738053,-4.8900439,-85.57742443
160701,LORETO,DATEM DEL MARA├æON,BARRANCA,122971,San Lorenzo,SAN LORENZO,2,1,IPSKLD,1607010001,,1607010001,MED-GPS,135,-76.5545112,-4.8315686,-81.3860798
50901,AYACUCHO,SUCRE,QUEROBAMBA,127440,Querobamba,QUEROBAMBA,2,1,GIPSE,509010001,,509010001,MED-GPS,3503,-73.83884087,-14.01125749,-87.85009836
30701,APURIMAC,GRAU,CHUQUIBAMBILLA,128325,Chuquibambilla,CHUQUIBAMBILLA,2,1,IPSKED,307010001,,307010001,MED-GPS,3327,-72.70764095,-14.10538044,-86.81302139
30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,122860,Tambobamba,TAMBOBAMBA,2,1,GIPSKED,305010001,,305010001,MED-GPS,3237,-72.1744466,-13.94619465,-86.12064125
81001,CUSCO,PARURO,PARURO,119410,Paruro,PARURO,2,1,GIPSK,810010001,,810010001,MED-GPS,3062,-71.84744051,-13.76132304,-85.60876355
51001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,126343,Huancapi,HUANCAPI,2,1,IPSKLD,510010001,,510010001,MED-GPS,3103,-74.06630109,-13.75245483,-87.81875592
90301,HUANCAVELICA,ANGARAES,LIRCAY,117564,Lircay,LIRCAY,2,1,IPSKLED,903010001,903010272,903010001,MED-GPS,3329,-74.71854352,-12.98304978,-87.7015933
170301,MADRE DE DIOS,TAHUAMANU,I├æAPARI,112305,i├▒apari,I├æAPARI,2,1,GIPS,1703010001,,1703010001,MED-GPS,236,-69.57741764,-10.94494366,-80.5223613
50401,AYACUCHO,HUANTA,HUANTA,125318,Huanta,HUANTA,2,1,GIPSKLED,504010001,,504010001,MED-GPS,2633,-74.24789121,-12.93991345,-87.18780466
90501,HUANCAVELICA,CHURCAMPA,CHURCAMPA,122226,Churcampa,CHURCAMPA,2,1,IPSKLED,905010001,,905010001,MED-GPS,3281,-74.38755656,-12.73925898,-87.12681554
90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,133207,Acobamba,ACOBAMBA,2,1,IPSKLD,902010001,,902010001,MED-GPS,3432,-74.57118027,-12.84432478,-87.41550505
151001,LIMA,YAUYOS,YAUYOS,131634,Yauyos,YAUYOS,2,1,IPSKLED,1510010001,,1510010001,MED-GPS,2882,-75.91868825,-12.45973429,-88.37842254
90701,HUANCAVELICA,TAYACAJA,PAMPAS,129877,Pampas,PAMPAS,2,1,IPSKLED,907010001,,907010001,MED-GPS,3263,-74.86842175,-12.3987926,-87.26721435
120501,JUNIN,JUNIN,JUNIN,115484,Junin,JUNIN,2,1,IPSKLE,1205010001,,1205010001,MED-GPS,4118,-75.99307889,-11.16104266,-87.15412155
200201,PIURA,AYABACA,AYABACA,113005,Ayabaca,AYABACA,2,1,GIPSKLED,2002010001,,2002010001,MED-GPS,2714,-79.71523023,-4.64022578,-84.35545601
160301,LORETO,LORETO,NAUTA,121391,Nauta,NAUTA,2,1,IPSKLD,1603010001,,1603010001,MED-GPS,101,-73.5754598,-4.50661633,-78.08207613
200701,PIURA,TALARA,PARI├æAS,128366,Talara,TALARA,2,1,GIPSKLED,2007010001,,2007010001,MED-GPS,12,-81.27182053,-4.57969115,-85.85151168
160401,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,125592,Caballo Cocha,CABALLO COCHA,2,1,IPSKLED,1604010001,,1604010001,MED-GPS,76,-70.51679052,-3.9059914,-74.42278192
240201,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,112401,Zorritos,ZORRITOS,2,1,GIPSKE,2402010001,,2402010001,MED-GPS,8,-80.6762874,-3.68066765,-84.35695505
240301,TUMBES,ZARUMILLA,ZARUMILLA,122029,Zarumilla,ZARUMILLA,2,1,GIPSKLED,2403010001,,2403010001,MED-GPS,13,-80.27502228,-3.5006804,-83.77570268
160801,LORETO,PUTUMAYO,PUTUMAYO,311264,San Antonio del Estrecho,SAN ANTONIO DEL ESTRECHO,2,1,IPSKLD,1608010001,,1601090001,MED-GPS,115,-72.66825135,-2.44719667,-75.11544802
160601,LORETO,UCAYALI,CONTAMANA,128671,Contamana,CONTAMANA,2,1,GIPSKLED,1606010001,,1606010001,MED-GPS,133,-75.00906072,-7.35052054,-82.35958126
10501,AMAZONAS,LUYA,LAMUD,130018,Lamud,LAMUD,2,1,IPSKED,105010001,,105010001,IMG_SATELITAL,2307,-77.95195967,-6.13903176,-84.09099143
210601,PUNO,HUANCANE,HUANCANE,117513,Huancane,HUANCANE,2,1,IPSLD,2106010001,,2106010001,MED-GPS,3853,-69.76143802,-15.2041154,-84.96555342
40501,AREQUIPA,CAYLLOMA,CHIVAY,129151,Chivay,CHIVAY,2,1,GIPSKLED,405010001,,405010001,IMG_SATELITAL,3638,-71.60198249,-15.63674194,-87.23872443
50701,AYACUCHO,PARINACOCHAS,CORACORA,116393,Coracora,CORACORA,2,1,GIPSLED,507010001,,507010001,MED-GPS,3178,-73.78089374,-15.01697752,-88.79787126
